id	floor	column	enemyName	isBoss	enemyHealth	initPartList	bootyList	winMoney	winCount
100001	1	1	e1	FALSE	40	10008:1;10010:1;10014:1;10022:1;10016:1;10025:1;10052:1	101003:0.1;101004:0.1;101005:0.1;101006:0.1;101008:0.1;101009:0.1;101011:0.1	150	1
100002	1	2	e1	FALSE	45	10008:1;10010:1;10014:1;10022:1;10016:1;10025:1;10052:1;10043:1	101003:0.1;101004:0.1;101005:0.1;101006:0.1;101008:0.1;101009:0.1;101011:0.1	150	1
100003	1	3	e1	FALSE	45	10008:1;10010:1;10014:1;10022:1;10016:1;10025:1;10052:1;10043:1	101003:0.1;101004:0.1;101005:0.1;101006:0.1;101008:0.1;101009:0.1;101011:0.1	150	1
100004	1	4	e1	FALSE	55	10008:1;10010:1;10014:1;10024:1;10016:1;10025:1;10052:1;10043:1	101003:0.1;101004:0.1;101005:0.1;101006:0.1;101008:0.1;101009:0.1;101011:0.1	150	1
100005	1	5	e1	FALSE	55	10008:1;10010:1;10014:1;10024:1;10016:1;10025:1;10052:1;10043:1	101003:0.1;101004:0.1;101005:0.1;101006:0.1;101008:0.1;101009:0.1;101011:0.1	150	1
100006	1	6	e1	FALSE	60	10008:1;10010:1;10014:1;10022:1;10017:1;10026:1;10052:1;10044:1	101003:0.1;101004:0.1;101005:0.1;101006:0.1;101008:0.1;101009:0.1;101011:0.1	150	1
100007	1	7	e1	FALSE	60	10008:1;10010:1;10014:1;10022;10016:1;10025:1;10052:1;10043:1	101003:0.1;101004:0.1;101005:0.1;101006:0.1;101008:0.1;101009:0.1;101011:0.1	150	1
999991	1	6	boss1	TRUE	100	10008:1;10010:1;10014:1;10022:1;10016:1;10025:1	101002:0.1;101002:0.1;101006:0.1;101006:0.1;101011:0.1;101011:0.1;101010:0.1;101010:0.1;101003:0.1	300	2




























































