id	goodsName	goodsDesc	goodsType	goodsPrice	partId	healthValue	goodsSpriteObjName
100001	瑞卡瓦之鼻	消除作用范围上的部位上的负面效果	PART	75	101001	0	spr_icon_nose_1
100002	里昂之眼	作用范围上的部位有10%概率触发两次效果	PART	150	101002	0	spr_icon_eye_1
100003	鹰嘴	直接对本体造成15点伤害	PART	50	101003	0	spr_icon_mouth_1
100004	希尔之鼻	回复作用范围内部位10点生命值	PART	100	101004	0	spr_icon_nose_2
100005	美杜莎之眼	使命中范围内的目标无法移动	PART	150	101005	0	spr_icon_eye_2
100006	大只嘴	对大范围内的目标造成10点伤害	PART	100	101006	0	spr_icon_mouth_4
100007	伊莉米蕾之鼻	去除作用范围内的负面部位	PART	100	101007	0	spr_icon_nose_3
100008	虎之眼	作用范围上的嘴巴有20%概率造成双倍伤害	PART	100	101008	0	spr_icon_eye_3
100013	药片	恢复HP：20	HEAL	50	0	20	spr_medic_small
100014	针管	恢复HP：30	HEAL	75	0	30	spr_medic_middle
100015	血袋	恢复HP：40	HEAL	100	0	40	spr_medic_big
100016	杰克之嘴	对范围内的敌方目标造成9点伤害	PART	100	101011	0	spr_icon_mouth_3
100017	珍妮之嘴	对范围内的敌方目标造成4点伤害	PART	100	101012	0	spr_icon_mouth_2
100018	普通皮肤	普通的皮肤	PART	50	101009	0	spr_nose_2
100019	反伤皮肤	受到伤害时使伤害来源受到3点伤害	PART	75	101010	0	spr_nose_2
