id	floor	storeName	storeDesc	goodsList
103001	1	流血商店1	出售各种流血相关部位	100034:1;100019:1;100002:1;100001:1;100073:1
103002	1	燃烧商店2	出售各种流血相关部位	100003:1;100002:1;100013:1;100034:1;100040:1
103003	1	普通商店3	出售各种燃烧相关部位	100004:1;100022:1;100003:1;100073:1;100001:1
103004	1	流血商店4	出售各种燃烧相关部位	100064:1;100025:1;100013:1;100001:1;100002:1
103005	1	燃烧商店5	出售各种普通部位	100003:1;100025:1;100031:1;100002:1;100064:1
103006	1	普通商店6	出售各种普通部位	100003:1;100001:1;100037:1;100052:1;100061:1
103007	1	流血商店7	出售各种普通部位	100002:1;100055:1;100067:1;100070:1;100001:1
103008	1	燃烧商店8	出售各种普通部位	100040:1;100016:1;100028:1;100002:1;100003:1
103009	1	普通商店9	出售各种流血相关部位	100013:1;100003:1;100046:1;100040:1;100001:1
103010	1	流血商店10	出售各种流血相关部位	100007:1;100034:1;100001:1;100058:1;100002:1
103011	1	燃烧商店11	出售各种燃烧相关部位	100002:1;100003:1;100052:1;100019:1;100055:1
103012	1	普通商店12	出售各种燃烧相关部位	100001:1;100007:1;100016:1;100061:1;100003:1
103013	1	流血商店13	出售各种普通部位	100001:1;100043:1;100049:1;100031:1;100002:1
103014	1	燃烧商店14	出售各种普通部位	100003:1;100002:1;100049:1;100025:1;100043:1
103015	1	普通商店15	出售各种普通部位	100003:1;100001:1;100043:1;100070:1;100010:1
103016	1	流血商店16	出售各种普通部位	100007:1;100058:1;100002:1;100037:1;100001:1
103017	1	燃烧商店17	出售各种流血相关部位	100002:1;100003:1;100022:1;100046:1;100067:1
103018	1	普通商店18	出售各种流血相关部位	100031:1;100073:1;100003:1;100028:1;100001:1
103019	1	流血商店19	出售各种燃烧相关部位	100061:1;100001:1;100002:1;100028:1;100010:1
103020	1	燃烧商店20	出售各种燃烧相关部位	100022:1;100037:1;100002:1;100061:1;100003:1




















































































































































