id	partId	partLevel	partHealth	partDesc	effectPosList	entryList	levelUpCost
10001	101001	1	10	消除效果范围上的友方部位上的负面效果	0:-1;-1:0;1:0;-1:1;1:1;-1:2;1:2	ACTIVE:CLEAR_DEFULL:1:0	100
10002	101001	2	12	消除效果范围上的友方部位上的负面效果	0:-1;-1:0;1:0;-1:1;1:1;-1:2;1:2	ACTIVE:CLEAR_DEFULL:1:0	180
10003	101001	3	15	消除效果范围上的友方部位上的负面效果	0:-1;-1:0;1:0;-1:1;1:1;-1:2;1:2	ACTIVE:CLEAR_DEFULL:1:0	0
10004	101002	1	5	效果范围上的友方部位有50%多触发一次	0:1	ACTIVE:TRIGGER_MORE:0.5:2	120
10005	101002	2	7	效果范围上的友方部位有60%多触发一次	0:1	ACTIVE:TRIGGER_MORE:0.6:2	200
10006	101002	3	10	效果范围上的友方部位有70%多触发一次	0:1	ACTIVE:TRIGGER_MORE:0.7:2	0
10007	101003	1	5	直接对敌方本体造成7点伤害	0:0	ACTIVE:REAL_ATTACK:1:7	100
10008	101003	2	7	直接对敌方本体造成9点伤害	0:0	ACTIVE:REAL_ATTACK:1:9	180
10009	101003	3	10	直接对敌方本体造成12点伤害	0:0	ACTIVE:REAL_ATTACK:1:12	0
10010	101004	1	10	回复效果范围内友方部位3点生命值	-1:1;0:1;1:1;-1:0;1:0;-1:-1;0:-1;1:-1	ACTIVE:HEAL_ALL_PART:1:3	100
10011	101004	2	12	回复效果范围内友方部位4点生命值	-1:1;0:1;1:1;-1:0;1:0;-1:-1;0:-1;1:-1	ACTIVE:HEAL_ALL_PART:1:4	180
10012	101004	3	15	回复效果范围内友方部位6点生命值	-1:1;0:1;1:1;-1:0;1:0;-1:-1;0:-1;1:-1	ACTIVE:HEAL_ALL_PART:1:6	0
10013	101005	1	5	50%概率使效果范围内的敌方部位目标无法行动	0:2;1:2	ACTIVE:PART_LOSE_TURN:0.5:0	120
10014	101005	2	7	60%概率使效果范围内的敌方部位目标无法行动	0:2;1:2;0:-1	ACTIVE:PART_LOSE_TURN:0.6:0	200
10015	101005	3	9	60%概率使效果范围内的敌方部位目标无法行动	0:2;1:2;0:-1;1:-1	ACTIVE:PART_LOSE_TURN:0.7:0	0
10016	101006	1	15	对大范围内的敌方目标造成12点伤害	0:0;0:1;1:0;1:1;2:0;2:1	ACTIVE:ATTACK:1:12	120
10017	101006	2	17	对大范围内的敌方目标造成18点伤害	0:0;0:1;1:0;1:1;2:0;2:1	ACTIVE:ATTACK:1:18	200
10018	101006	3	20	对大范围内的敌方目标造成24点伤害	0:0;0:1;1:0;1:1;2:0;2:1	ACTIVE:ATTACK:1:24	0
10019	101007	1	10	去除效果范围内的友方的负面部位	-1:4;0:4;1:4;2:3;2:2;2:1;2:0;2:-1;1:-2;0:-2;-1:-2;-2:-1;-2:0;-2:1;-2:2;-2:3	ACTIVE:CLEAR_BAD_SKIN:1:0	100
10020	101007	2	13	去除效果范围内的友方的负面部位	-1:4;0:4;1:4;2:3;2:2;2:1;2:0;2:-1;1:-2;0:-2;-1:-2;-2:-1;-2:0;-2:1;-2:2;-2:3	ACTIVE:CLEAR_BAD_SKIN:1:0	180
10021	101007	3	16	去除效果范围内的友方的负面部位	-1:4;0:4;1:4;2:3;2:2;2:1;2:0;2:-1;1:-2;0:-2;-1:-2;-2:-1;-2:0;-2:1;-2:2;-2:3	ACTIVE:CLEAR_BAD_SKIN:1:0	0
10022	101008	1	5	效果范围上的友方嘴巴有50%概率造成双倍伤害	0:2;1:2	ACTIVE:DAMAGE_MULTIPILER:0.5:2	120
10023	101008	2	7	效果范围上的友方嘴巴有60%概率造成双倍伤害	0:2;1:2;-1:1;2:1	ACTIVE:DAMAGE_MULTIPILER:0.6:2	200
10024	101008	3	10	效果范围上的友方嘴巴有70%概率造成双倍伤害	0:2;1:2;-1:1;2:1;-1:0;2:0;0:-1;1:-1	ACTIVE:DAMAGE_MULTIPILER:0.7:2	0
10025	101009	1	20	普通的皮肤	0:0	*	100
10026	101009	2	25	普通的皮肤	0:0	*	180
10027	101009	3	30	普通的皮肤	0:0	*	0
10028	101010	1	15	受到伤害时使伤害来源受到3点伤害	0:0	GET_HIT:REFLECT:1:3	100
10029	101010	2	17	受到伤害时使伤害来源受到4点伤害	0:0	GET_HIT:REFLECT:1:4	180
10030	101010	3	20	受到伤害时使伤害来源受到5点伤害	0:0	GET_HIT:REFLECT:1:5	0
10031	101011	1	10	对范围内的敌方目标造成9点伤害	0:0;1:0;2:0	ACTIVE:ATTACK:1:9	100
10032	101011	2	12	对范围内的敌方目标造成12点伤害	0:0;1:0;2:0	ACTIVE:ATTACK:1:12	180
10033	101011	3	15	对范围内的敌方目标造成15点伤害	0:0;1:0;2:0	ACTIVE:ATTACK:1:15	0
10034	101012	1	8	对范围内的敌方目标造成4点伤害	0:0;1:0	ACTIVE:ATTACK:1:4	100
10035	101012	2	10	对范围内的敌方目标造成6点伤害	0:0;1:0	ACTIVE:ATTACK:1:6	180
10036	101012	3	12	对范围内的敌方目标造成8点伤害	0:0;1:0	ACTIVE:ATTACK:1:8	0

























