id	storeName	storeDesc	goodsList
103001	0	0	100001:1;100002:1;100003:1;100013:1;100014:1
103002	0	0	100004:1;100005:1;100006:1;100014:1;100015:1
103003	0	0	100007:1;100008:1;100009:1;100013:1;100015:1
103004	0	0	100010:1;100011:1;100012:1;100013:1;100014:1
103005	0	0	100001:1;100004:1;100007:1;100010:1;100013:1
103006	0	0	100001:1;100004:1;100007:1;100010:1;100014:1
103007	0	0	100001:1;100004:1;100007:1;100010:1;100015:1
103008	0	0	100002:1;100005:1;100008:1;100011:1;100013:1
103009	0	0	100002:1;100005:1;100008:1;100011:1;100014:1
103010	0	0	100002:1;100005:1;100008:1;100011:1;100015:1
103011	0	0	100003:1;100006:1;100009:1;100012:1;100013:1
103012	0	0	100003:1;100006:1;100009:1;100012:1;100014:1
103013	0	0	100003:1;100006:1;100009:1;100012:1;100015:1
